filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	summarylen	summarytext
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace.	1015	56	0	0	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves the bar and walks through the Ninsei crowds, feeling the weight of his past as a cowboy and the consequences of his betrayal. He contemplates his uncertain future and the challenges he will face as he tries to survive in the Sprawl.	1015	56	1	0	
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City.	2020	95	1	38	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case reflects on his impending self-destruction and the memories of his time with Linda Lee that continue to haunt him.	2020	95	2	38	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage.	3021	153	2	85	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case becomes more cautious and vigilant after Linda warns him about Wage's intentions, prompting him to investigate further and gather information about Wage and his associates to protect himself.	3021	153	3	85	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office.	4028	208	3	109	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case leaves Deane's office and senses someone following him closely. He tries to remain calm and find a way to escape.	4028	208	4	109	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed.	5031	270	4	133	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case confronts his tail and engages in a confrontation or escape attempt to evade them.	5031	270	5	133	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person.	6046	335	5	195	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Case heads to Cheap Hotel where he plans to make important calls and conduct business.	6046	335	6	195	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case enters a cheap lodging compound, opens his coffin, and finds a pocket computer and a cooler containing dry ice and a lab flask. He makes a phone call to sell some hot RAM, but the buyer hangs up on him. Case then heads to the Chat bar, where he encounters Ratz and learns that Wage is there with his joeboys.	7051	402	6	220	
00022193.txt	Neuromancer	William Gibson	Turbo3	prediction	Wage confronts Case at the bar, and Ratz intervenes to prevent trouble. Kurt aims a nonlethal riot gun at Wage and his joeboys. Case expresses gratitude to Ratz and acknowledges his debt to him.	7051	402	7	220	In Chiba City, Case enters the Chat, a bar for expatriates, and interacts with Ratz, the bartender. He drinks beer, converses with a prostitute, and expresses his bitterness about his damaged nervous system and his longing for cyberspace. Case, desperate for a cure for his damaged nervous system, spends his last New Yen in Chiba City, only to be disappointed by the black clinics. Now broke and living in cheap coffins near the port, he reflects on the dangerous and cutthroat nature of Night City. Case observes Linda's deteriorating state and they have a conversation about their respective situations, with Linda warning Case about a potential threat from Wage. Case reflects on his recent actions and encounters, including his interaction with Wage, his fascination with shuriken, and his visit to Julius Deane's office. Case enters a surgical boutique and contemplates the use of a vatgrown flesh implant, then encounters a boy named Shin who offers him a taser. Case purchases a weapon called a cobra from a Japanese woman and conceals it on his person. He then goes to the Chat bar and speaks with Lonny Zone about Wage, before realizing he is being followed. Case breaks into an office cubicle in an arcade, triggered an alarm, and escapes through a window, all while being pursued by an unknown person.
00022193.txt	Neuromancer	William Gibson	Turbo3	summary	Case confronts Wage in the Chat bar, pointing a gun at him, but Ratz intervenes and disarms Case. Wage questions Case about someone trying to set him up, and Case gives Wage a flask of pituitaries in exchange for money. Case then leaves the bar and reflects on his recent encounter with Linda and his feelings of betrayal.	8067	467	7	281	
